addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,dist,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title
전라남도 고흥군 영남면 남열리,,38,0,A01,A0101,A01011200,127546,12,2.00E+13,223194.177,http://tong.visitkorea.or.kr/cms/resource/30/3360830_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/30/3360830_image3_1.JPG,Type3,127.4869162,34.58063707,6,2.02E+13,2,,남열해돋이해수욕장
전북특별자치도 남원시 산성순환길 714,(산곡동),37,0,A02,A0201,A02010200,1607157,12,2.01E+13,133103.681,,,,127.3643193,35.4280313,6,2.02E+13,4,,남원 교룡산성
전북특별자치도 남원시 만복사길 10-5 (왕정동),,37,0,A02,A0201,A02010800,126409,12,2.00E+13,135182.0806,,,,127.3679806,35.40761979,6,2.02E+13,4,,남원 만복사지
전북특별자치도 남원시 만인로 3,(향교동),37,0,A02,A0201,A02010700,126381,12,2.00E+13,133802.8844,,,,127.3774351,35.41835207,6,2.02E+13,4,,남원 만인의총
전북특별자치도 남원시 대산면 신계리,,37,0,A02,A0201,A02010700,250459,12,2.01E+13,134104.812,http://tong.visitkorea.or.kr/cms/resource/94/3343894_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/3343894_image3_1.jpg,Type3,127.3020496,35.43473225,6,2.02E+13,4,,남원 신계리 마애여래좌상
전북특별자치도 남원시 산내면 입석길 94-129,(산내면),37,0,A02,A0201,A02010700,1626285,12,2.01E+13,129473.5223,http://tong.visitkorea.or.kr/cms/resource/14/1605814_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/1605814_image3_1.jpg,Type3,127.6347929,35.41682896,6,2.02E+13,4,,남원 실상사 석장승
전북특별자치도 남원시 이백면 목가길 193,,37,0,A01,A0101,A01010700,2638439,12,2.02E+13,129201.97,http://tong.visitkorea.or.kr/cms/resource/83/2639283_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/83/2639283_image2_1.JPG,Type3,127.4768424,35.44061239,6,2.02E+13,4,,남원 아담원
전북특별자치도 남원시 보절면 보절신기길 14-3,(보절면) 부근,37,0,A01,A0102,A01020100,1607729,12,2.01E+13,124434.9283,,,,127.4219819,35.49594962,6,2.02E+13,4,,남원 진기리 느티나무
전북특별자치도 남원시 용동길 28,,37,0,A02,A0203,A02030100,129314,12,2.01E+13,120579.2186,http://tong.visitkorea.or.kr/cms/resource/88/2515288_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/88/2515288_image2_1.jpg,Type3,127.4233114,35.53174281,6,2.02E+13,4,,남원 추어마을
전북특별자치도 남원시 천거동,(천거동),37,0,A02,A0203,A02030600,2613631,12,2.02E+13,135719.9364,http://tong.visitkorea.or.kr/cms/resource/44/3364444_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/44/3364444_image3_1.JPG,Type3,127.3766717,35.40055407,6,2.02E+13,4,,남원 추어탕 거리
전북특별자치도 남원시 월매안길 14-8 (쌍교동),,37,,A02,A0203,A02030200,3075948,12,2.02E+13,135294.8808,,,,127.3814351,35.40344827,6,2.02E+13,4,,남원 화인당
전북특별자치도 남원시 운봉읍 가산화수길 84,,37,0,A02,A0205,A02050200,126382,12,2.00E+13,125855.9199,http://tong.visitkorea.or.kr/cms/resource/76/1604076_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/1604076_image3_1.jpg,Type3,127.5617372,35.45792859,6,2.02E+13,4,,남원 황산대첩비지
전북특별자치도 남원시 아영면 흥부1길 48-1,,37,0,A02,A0201,A02010600,128402,12,2.01E+13,118791.5316,http://tong.visitkorea.or.kr/cms/resource/50/2515250_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/2515250_image2_1.jpg,Type3,127.5831309,35.51960254,6,2.02E+13,4,,남원 흥부마을
전북특별자치도 남원시 양림길 43,(어현동),37,0,A02,A0202,A02020200,126431,12,2.00E+13,135219.2469,http://tong.visitkorea.or.kr/cms/resource/38/3079338_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/3079338_image3_1.jpg,Type3,127.3901038,35.4022069,6,2.02E+13,4,,남원관광단지
전북특별자치도 남원시 양림길 58-13 (어현동),,37,,A02,A0202,A02020600,3017615,12,2.02E+13,135119.7045,http://tong.visitkorea.or.kr/cms/resource/07/3017607_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/3017607_image3_1.jpg,Type3,127.3918814,35.40274298,6,2.02E+13,4,,남원랜드
전북특별자치도 남원시 수지면 내호곡2길 19,,37,0,A02,A0201,A02010400,250460,12,2.01E+13,142453.5298,http://tong.visitkorea.or.kr/cms/resource/55/3358455_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/55/3358455_image3_1.JPG,Type3,127.3747457,35.33799444,6,2.02E+13,4,,남원몽심재
전북특별자치도 익산시 여산면 서촌1길 34-3,,37,0,A02,A0201,A02010800,298206,12,2.01E+13,85829.59307,,,,127.0827696,36.05572732,6,2.02E+13,9,,남원사(익산)
전북특별자치도 남원시 운봉읍 서천리,,37,0,A02,A0201,A02010900,250307,12,2.02E+13,128209.312,,,,127.5289628,35.44108547,6,2.02E+13,4,,남원서천리당산
전북특별자치도 남원시 요천로 1234-5 (조산동),,37,0,A02,A0204,A02040800,2714794,12,2.02E+13,136704.3765,http://tong.visitkorea.or.kr/cms/resource/60/3364060_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/60/3364060_image3_1.JPG,Type3,127.3589956,35.39544601,6,2.02E+13,4,,남원시 옻칠공예관
전북특별자치도 남원시 동충동,(동충동),37,0,A02,A0201,A02010200,1607188,12,2.01E+13,134263.4927,http://tong.visitkorea.or.kr/cms/resource/13/3358513_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/13/3358513_image3_1.JPG,Type3,127.3773574,35.41404978,6,2.02E+13,4,,남원읍성
전북특별자치도 남원시 보산로 228 남원자연휴양림,,37,0,A01,A0101,A01010600,126939,12,2.00E+13,128787.7222,http://tong.visitkorea.or.kr/cms/resource/62/219362_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/219362_image3_1.jpg,Type3,127.4140697,35.45701778,6,2.02E+13,4,,남원자연휴양림
전북특별자치도 남원시 양림길 48-63,(노암동),37,0,A01,A0101,A01010500,1607213,12,2.01E+13,135607.0304,http://tong.visitkorea.or.kr/cms/resource/86/1477886_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/1477886_image2_1.jpg,Type3,127.3874041,35.39918219,6,2.02E+13,4,,남원항공우주천문대
전북특별자치도 남원시 향교길 43,,37,0,A02,A0201,A02010700,126410,12,2.00E+13,133269.5667,http://tong.visitkorea.or.kr/cms/resource/51/3364451_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/51/3364451_image3_1.JPG,Type3,127.3830012,35.42206564,6,2.02E+13,4,,남원향교
강원특별자치도 춘천시 남이섬길 1 남이섬,,32,0,A02,A0202,A02020200,128019,12,2.00E+13,137589.0521,http://tong.visitkorea.or.kr/cms/resource/62/3427362_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/3427362_image3_1.jpg,Type3,127.525509,37.79632082,6,2.02E+13,13,,남이섬
경기도 화성시 비봉면 남이로,,31,0,A02,A0201,A02010700,125559,12,2.00E+13,113737.7018,http://tong.visitkorea.or.kr/cms/resource/12/3393212_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/12/3393212_image3_1.JPG,Type3,126.8317266,37.24851076,6,2.02E+13,31,,남이장군묘 (화성)
경상남도 사천시 모례2길 11-19 (향촌동),,36,0,A01,A0101,A01011200,126564,12,2.00E+13,184876.2877,http://tong.visitkorea.or.kr/cms/resource/62/3374262_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/62/3374262_image3_1.JPG,Type3,128.0980484,34.92799213,6,2.02E+13,8,,남일대해수욕장
경상북도 상주시 남장1길 259-22,(남장동),35,0,A02,A0201,A02010800,126154,12,2.00E+13,31813.76223,,,,128.1057293,36.43106108,6,2.02E+13,9,,남장사
강원특별자치도 인제군 남면 남전리 산 145 일원,,32,0,A01,A0101,A01011000,125721,12,2.00E+13,163894.9699,http://tong.visitkorea.or.kr/cms/resource/18/182118_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/182118_image3_1.jpg,Type3,128.1354549,38.02743592,6,2.02E+13,10,,남전약수
전북특별자치도 익산시 익산대로24길 8-5,(남중동),37,0,A02,A0205,A02050200,1583060,12,2.01E+13,102663.2531,http://tong.visitkorea.or.kr/cms/resource/35/3369935_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/35/3369935_image3_1.JPG,Type3,126.9521453,35.94545985,6,2.02E+13,9,,남중동 오층 석탑
대구광역시 달성군 가창면 남지장사길 127,(가창면),4,0,A02,A0201,A02010800,298207,12,2.01E+13,119011.7976,,,,128.627608,35.73514972,6,2.02E+13,3,,남지장사(대구)
경상남도 창녕군 남지읍 남지리,961,36,,A02,A0205,A02050100,3060346,12,2.02E+13,145359.3237,http://tong.visitkorea.or.kr/cms/resource/83/3052083_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/83/3052083_image3_1.JPG,Type3,128.479625,35.38603917,6,2.02E+13,15,,남지철교
경상남도 창녕군 남지읍 남지리 835-25,,36,0,A02,A0202,A02020700,2750692,12,2.02E+13,145192.0878,,,,128.4715924,35.38475861,6,2.02E+13,15,,남지체육공원
전라남도 장성군 북하면 남창로,,38,0,A01,A0101,A01010900,126261,12,2.00E+13,150316.5385,http://tong.visitkorea.or.kr/cms/resource/18/3347418_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/18/3347418_image3_1.JPG,Type3,126.8408732,35.45909658,6,2.02E+13,19,,남창계곡
충청북도 단양군 영춘면 남천계곡로 375,(영춘면),33,0,A01,A0101,A01010900,126561,12,2.00E+13,81944.04253,http://tong.visitkorea.or.kr/cms/resource/62/3064162_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/3064162_image3_1.jpg,Type3,128.5107839,37.04310129,6,2.02E+13,2,,남천계곡
전북특별자치도 전주시 완산구 천경로 40,(동서학동) 부근,37,0,A02,A0201,A02010700,1594796,12,2.01E+13,102429.4463,http://tong.visitkorea.or.kr/cms/resource/64/3422464_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/3422464_image3_1.jpg,Type1,127.1531753,35.81072034,6,2.02E+13,12,,남천교 청연루
충청남도 청양군 정산면 면암로 288-184,(정산면),34,0,A02,A0203,A02030100,1937701,12,2.01E+13,73560.69243,http://tong.visitkorea.or.kr/cms/resource/03/3028003_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/03/3028003_image3_1.JPG,Type3,126.9835984,36.45438275,6,2.02E+13,13,,남천리 산촌생태마을
서울특별시 관악구 남현동,,1,,A01,A0101,A01010400,3082015,12,2.02E+13,121695.8868,http://tong.visitkorea.or.kr/cms/resource/11/3082011_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/11/3082011_image3_1.JPG,Type3,126.986951,37.45980013,6,2.02E+13,5,,남태령고개
광주광역시 남구 사직안길 9,(사동),5,0,A02,A0201,A02010300,127526,12,2.00E+13,177387.3593,,,,126.9132581,35.14320299,6,2.02E+13,2,,남평문씨 쌍효문
